Series ID,Year,Period,Label,Value
CUURS49ASA0,2020,M01,2020 Jan,277.755
CUURS49ASA0,2020,M02,2020 Feb,278.657
CUURS49ASA0,2020,M03,2020 Mar,276.589
CUURS49ASA0,2020,M04,2020 Apr,275.853
CUURS49ASA0,2020,M05,2020 May,276.842
CUURS49ASA0,2020,M06,2020 Jun,278.121
CUURS49ASA0,2020,M07,2020 Jul,279.899
CUURS49ASA0,2020,M08,2020 Aug,280.116
CUURS49ASA0,2020,M09,2020 Sep,279.366
CUURS49ASA0,2020,M10,2020 Oct,279.947
CUURS49ASA0,2020,M11,2020 Nov,280.102
CUURS49ASA0,2020,M12,2020 Dec,279.560
CUURS49ASA0,2021,M01,2021 Jan,280.178
CUURS49ASA0,2021,M02,2021 Feb,281.347
CUURS49ASA0,2021,M03,2021 Mar,282.648
CUURS49ASA0,2021,M04,2021 Apr,285.808
CUURS49ASA0,2021,M05,2021 May,287.620
CUURS49ASA0,2021,M06,2021 Jun,289.218
CUURS49ASA0,2021,M07,2021 Jul,290.890
CUURS49ASA0,2021,M08,2021 Aug,291.333
CUURS49ASA0,2021,M09,2021 Sep,292.209
CUURS49ASA0,2021,M10,2021 Oct,294.961
CUURS49ASA0,2021,M11,2021 Nov,296.790
CUURS49ASA0,2021,M12,2021 Dec,297.925
CUURS49ASA0,2022,M01,2022 Jan,301.209
CUURS49ASA0,2022,M02,2022 Feb,302.164
CUURS49ASA0,2022,M03,2022 Mar,306.679
CUURS49ASA0,2022,M04,2022 Apr,308.302
CUURS49ASA0,2022,M05,2022 May,310.649
CUURS49ASA0,2022,M06,2022 Jun,314.072
CUURS49ASA0,2022,M07,2022 Jul,313.415
CUURS49ASA0,2022,M08,2022 Aug,313.608
CUURS49ASA0,2022,M09,2022 Sep,315.033
CUURS49ASA0,2022,M10,2022 Oct,317.014
CUURS49ASA0,2022,M11,2022 Nov,314.633
CUURS49ASA0,2022,M12,2022 Dec,312.601
CUURS49ASA0,2023,M01,2023 Jan,318.591
CUURS49ASA0,2023,M02,2023 Feb,317.571
CUURS49ASA0,2023,M03,2023 Mar,317.873
CUURS49ASA0,2023,M04,2023 Apr,320.089
CUURS49ASA0,2023,M05,2023 May,320.514
CUURS49ASA0,2023,M06,2023 Jun,322.055
CUURS49ASA0,2023,M07,2023 Jul,321.931
CUURS49ASA0,2023,M08,2023 Aug,324.050
CUURS49ASA0,2023,M09,2023 Sep,324.984
CUURS49ASA0,2023,M10,2023 Oct,324.545
CUURS49ASA0,2023,M11,2023 Nov,323.341
CUURS49ASA0,2023,M12,2023 Dec,323.456
CUURS49ASA0,2024,M01,2024 Jan,326.640
CUURS49ASA0,2024,M02,2024 Feb,328.232
CUURS49ASA0,2024,M03,2024 Mar,330.671
CUURS49ASA0,2024,M04,2024 Apr,332.572
CUURS49ASA0,2024,M05,2024 May,332.956
CUURS49ASA0,2024,M06,2024 Jun,332.357
CUURS49ASA0,2024,M07,2024 Jul,332.928
CUURS49ASA0,2024,M08,2024 Aug,333.359
CUURS49ASA0,2024,M09,2024 Sep,334.123
CUURS49ASA0,2024,M10,2024 Oct,334.242
CUURS49ASA0,2024,M11,2024 Nov,333.718
CUURS49ASA0,2024,M12,2024 Dec,334.531
CUURS49ASA0,2025,M01,2025 Jan,337.508
CUURS49ASA0,2025,M02,2025 Feb,338.438
CUURS49ASA0,2025,M03,2025 Mar,340.648
CUURS49ASA0,2025,M04,2025 Apr,342.565
CUURS49ASA0,2025,M05,2025 May,343.010
